Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,not-balanced,50,10,kbest,"['trust', 'e_score', 'a_score']","{'trust': 0.0, 'e_score': 0.3724, 'a_score': 0.1203}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9999,0.9999,1.0,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'disgust', 'e_score', 'a_score']","{'fear': 0.0, 'trust': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'e_score': 0.3752, 'a_score': 0.1213}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,0.9984,0.9984,0.9984,1.0,not-balanced,50,10,kbest,"['trust', 'e_score', 'a_score']","{'trust': 0.0, 'e_score': 0.2343, 'a_score': 0.2626}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983,0.9983,0.9983,0.9983,1.0,not-balanced,50,10,kbest,"['trust', 'e_score', 'a_score']","{'trust': 0.0, 'e_score': 0.2592, 'a_score': 0.2443}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983,0.9983,0.9983,0.9983,1.0,not-balanced,50,10,kbest,"['trust', 'e_score', 'a_score']","{'trust': 0.0, 'e_score': 0.2805, 'a_score': 0.2236}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968,0.9968,0.9968,0.9968,1.0,not-balanced,70,10,kbest,"['fear', 'trust', 'sadness', 'disgust', 'e_score', 'a_score']","{'fear': 0.0, 'trust': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'e_score': 0.2545, 'a_score': 0.2472}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977,0.9784,0.977,0.9772,1.0,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'e_score': 0.3316, 'a_score': 0.1526}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765,0.978,0.9765,0.9767,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.3457, 'a_score': 0.1501}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763,0.9778,0.9763,0.9765,1.0,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'disgust', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'e_score': 0.3504, 'a_score': 0.1442}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9758,0.9773,0.9758,0.9759,1.0,not-balanced,50,10,kbest,"['trust', 'e_score', 'a_score']","{'trust': 0.0, 'e_score': 0.3629, 'a_score': 0.1382}",RandomForestClassifier()
